state_abbr,state_name,individual_premium_avg,small_group_premium_avg,difference_avg,county_count,year,age,metal_tier
KS,Kansas,986.59,973.22,13.37,105,2026,50,Gold
KS,Kansas,816.48,900.29,-83.81,105,2026,50,Silver
KY,Kentucky,412.59,550.81,-138.22,120,2026,27,Bronze
KY,Kentucky,575.78,661.06,-85.28,120,2026,27,Gold
KY,Kentucky,468.41,607.73,-139.31,120,2026,27,Silver
KY,Kentucky,703.14,938.69,-235.55,120,2026,50,Bronze
KY,Kentucky,981.24,1126.57,-145.33,120,2026,50,Gold
KY,Kentucky,798.27,1035.69,-237.42,120,2026,50,Silver
LA,Louisiana,391.27,359.36,31.91,64,2026,27,Bronze
LA,Louisiana,582.31,493.27,89.04,64,2026,27,Gold
LA,Louisiana,469.44,429.1,40.34,64,2026,27,Silver
LA,Louisiana,666.8,612.42,54.38,64,2026,50,Bronze
LA,Louisiana,992.36,840.62,151.74,64,2026,50,Gold
LA,Louisiana,800.01,731.27,68.75,64,2026,50,Silver
MA,Massachusetts,369.3,369.3,0.0,14,2026,27,Bronze
MA,Massachusetts,536.2,535.05,1.15,14,2026,27,Gold
MA,Massachusetts,391.94,391.94,0.0,14,2026,27,Silver
MA,Massachusetts,527.01,527.01,0.0,14,2026,50,Bronze
MA,Massachusetts,765.18,763.55,1.64,14,2026,50,Gold
MA,Massachusetts,559.33,559.33,0.0,14,2026,50,Silver
MD,Maryland,232.18,307.69,-75.51,24,2026,27,Bronze
MD,Maryland,320.23,408.97,-88.74,24,2026,27,Gold
MD,Maryland,280.1,359.63,-79.53,24,2026,27,Silver
MD,Maryland,395.68,524.37,-128.69,24,2026,50,Bronze
MD,Maryland,545.74,696.96,-151.22,24,2026,50,Gold
MD,Maryland,477.35,612.88,-135.53,24,2026,50,Silver
ME,Maine,441.18,443.05,-1.87,16,2026,27,Bronze
ME,Maine,607.73,555.52,52.21,16,2026,27,Gold
ME,Maine,501.51,499.32,2.19,16,2026,27,Silver
ME,Maine,751.86,755.05,-3.19,16,2026,50,Bronze
ME,Maine,1035.7,946.72,88.98,16,2026,50,Gold
ME,Maine,854.67,850.95,3.73,16,2026,50,Silver
MI,Michigan,340.38,285.6,54.78,83,2026,27,Bronze
MI,Michigan,529.34,358.02,171.31,83,2026,27,Gold
